R	Gamma	E
3.90	0	-115.835387712915
3.90	5	-115.835387342757
3.90	10	-115.835386254671
3.90	15	-115.835384509342
3.90	20	-115.83538220534
3.90	25	-115.835379473385
3.90	30	-115.835376470834
3.90	35	-115.835373375817
3.90	40	-115.835370379696
3.90	45	-115.835367680287
3.90	50	-115.835365474329
3.90	55	-115.835363952411
3.90	60	-115.83536329383
3.90	65	-115.835363665519
3.90	70	-115.835365222911
3.90	75	-115.835368115096
3.90	80	-115.835372491668
3.90	85	-115.835378513826
3.90	90	-115.835386370405
3.90	95	-115.835396301194
3.90	100	-115.835408628177
3.90	105	-115.835423797461
3.90	110	-115.835442423759
3.90	115	-115.835465325244
3.90	120	-115.835493542115
3.90	125	-115.83552833774
3.90	130	-115.835571188061
3.90	135	-115.835623731473
3.90	140	-115.835687562971
3.90	145	-115.835763735385
3.90	150	-115.835851978632
3.90	155	-115.835949914385
3.90	160	-115.836052472426
3.90	165	-115.836151515227
3.90	170	-115.836235982287
3.90	175	-115.836293524274
3.90	180	-115.83631402347
4.00	0	-115.835369322841
4.00	5	-115.835368995105
4.00	10	-115.835368034506
4.00	15	-115.835366500682
4.00	20	-115.83536448889
4.00	25	-115.835362122995
4.00	30	-115.835359547414
4.00	35	-115.835356919563
4.00	40	-115.83535440178
4.00	45	-115.835352155403
4.00	50	-115.835350335498
4.00	55	-115.835349087621
4.00	60	-115.835348546417
4.00	65	-115.83534883674
4.00	70	-115.835350076041
4.00	75	-115.835352379761
4.00	80	-115.835355868077
4.00	85	-115.835360675972
4.00	90	-115.835366967234
4.00	95	-115.835374956238
4.00	100	-115.835384941579
4.00	105	-115.835397352442
4.00	110	-115.835412805905
4.00	115	-115.835432161899
4.00	120	-115.835456555999
4.00	125	-115.835487392128
4.00	130	-115.835526283922
4.00	135	-115.835574938657
4.00	140	-115.835634927072
4.00	145	-115.835707248212
4.00	150	-115.835791635634
4.00	155	-115.835885728975
4.00	160	-115.8359843876
4.00	165	-115.836079417066
4.00	170	-115.836160044051
4.00	175	-115.83621468269
4.00	180	-115.836234086406
4.10	0	-115.835353585932
4.10	5	-115.835353310696
4.10	10	-115.835352505067
4.10	15	-115.835351222182
4.10	20	-115.835349545824
4.10	25	-115.835347583689
4.10	30	-115.835345458998
4.10	35	-115.835343302995
4.10	40	-115.835341248039
4.10	45	-115.835339422479
4.10	50	-115.835337947266
4.10	55	-115.835336933932
4.10	60	-115.835336485325
4.10	65	-115.835336697464
4.10	70	-115.835337662539
4.10	75	-115.835339473724
4.10	80	-115.835342230704
4.10	85	-115.835346048334
4.10	90	-115.835351068024
4.10	95	-115.835357478032
4.10	100	-115.835365544362
4.10	105	-115.835375659396
4.10	110	-115.835388404451
4.10	115	-115.835404618204
4.10	120	-115.83542544492
4.10	125	-115.835452333052
4.10	130	-115.8354869563
4.10	135	-115.835531044881
4.10	140	-115.835586111087
4.10	145	-115.835653030406
4.10	150	-115.835731442594
4.10	155	-115.835819016183
4.10	160	-115.835910792318
4.10	165	-115.835998961653
4.10	170	-115.836073462185
4.10	175	-115.836123741847
4.10	180	-115.836141551544
4.20	0	-115.835340614895
4.20	5	-115.835340390106
4.20	10	-115.835339733049
4.20	15	-115.835338687982
4.20	20	-115.835337324437
4.20	25	-115.835335731371
4.20	30	-115.83533400955
4.20	35	-115.835332264805
4.20	40	-115.835330602705
4.20	45	-115.835329124359
4.20	50	-115.835327923769
4.20	55	-115.835327088244
4.20	60	-115.835326698299
4.20	65	-115.835326830321
4.20	70	-115.835327559482
4.20	75	-115.835328963447
4.20	80	-115.835331126923
4.20	85	-115.835334148583
4.20	90	-115.835338150173
4.20	95	-115.835343293568
4.20	100	-115.835349809426
4.20	105	-115.835358042766
4.20	110	-115.835368516576
4.20	115	-115.835382007542
4.20	120	-115.835399607042
4.20	125	-115.835422732939
4.20	130	-115.835453051584
4.20	135	-115.835492283299
4.20	140	-115.835541886291
4.20	145	-115.83560263172
4.20	150	-115.835674061568
4.20	155	-115.835753875655
4.20	160	-115.835837392738
4.20	165	-115.83591739666
4.20	170	-115.835984754442
4.20	175	-115.836030060931
4.20	180	-115.83604607699
4.30	0	-115.835330170044
4.30	5	-115.835329988343
4.30	10	-115.835329457512
4.30	15	-115.835328612926
4.30	20	-115.835327510844
4.30	25	-115.835326222351
4.30	30	-115.835324827844
4.30	35	-115.835323411446
4.30	40	-115.835322056772
4.30	45	-115.835320843565
4.30	50	-115.835319846388
4.30	55	-115.835319134661
4.30	60	-115.835318773608
4.30	65	-115.835318826059
4.30	70	-115.83531935531
4.30	75	-115.835320427741
4.30	80	-115.835322116685
4.30	85	-115.835324506939
4.30	90	-115.835327702826
4.30	95	-115.835331841791
4.30	100	-115.835337119015
4.30	105	-115.835343828858
4.30	110	-115.835352426267
4.30	115	-115.835363602361
4.30	120	-115.835378354875
4.30	125	-115.835398015125
4.30	130	-115.835424183678
4.30	135	-115.83545853491
4.30	140	-115.835502484356
4.30	145	-115.835556744507
4.30	150	-115.835620813944
4.30	155	-115.835692459287
4.30	160	-115.835767311565
4.30	165	-115.835838808009
4.30	170	-115.835898803841
4.30	175	-115.835939039673
4.30	180	-115.835953238569
4.40	0	-115.835321859951
4.40	5	-115.835321712206
4.40	10	-115.835321280797
4.40	15	-115.83532059351
4.40	20	-115.835319694928
4.40	25	-115.835318641442
4.40	30	-115.835317496612
4.40	35	-115.835316327454
4.40	40	-115.835315200412
4.40	45	-115.835314179488
4.40	50	-115.835313325089
4.40	55	-115.835312694115
4.40	60	-115.835312340852
4.40	65	-115.835312318811
4.40	70	-115.835312682275
4.40	75	-115.835313489192
4.40	80	-115.835314803263
4.40	85	-115.835316697813
4.40	90	-115.835319261817
4.40	95	-115.835322610558
4.40	100	-115.835326906609
4.40	105	-115.835332395318
4.40	110	-115.835339461041
4.40	115	-115.835348699732
4.40	120	-115.835360992484
4.40	125	-115.835377546262
4.40	130	-115.835399848129
4.40	135	-115.835429489756
4.40	140	-115.835467839362
4.40	145	-115.835515592443
4.40	150	-115.835572273401
4.40	155	-115.835635780121
4.40	160	-115.835702083095
4.40	165	-115.835765268688
4.40	170	-115.835818137702
4.40	175	-115.835853503276
4.40	180	-115.835865965374
4.50	0	-115.835315264635
4.50	5	-115.835315142421
4.50	10	-115.835314785372
4.50	15	-115.835314215493
4.50	20	-115.835313467935
4.50	25	-115.835312587632
4.50	30	-115.835311625394
4.50	35	-115.835310635026
4.50	40	-115.835309670525
4.50	45	-115.835308784373
4.50	50	-115.835308026925
4.50	55	-115.835307446064
4.50	60	-115.83530708845
4.50	65	-115.835307000403
4.50	70	-115.835307229609
4.50	75	-115.835307826832
4.50	80	-115.83530884772
4.50	85	-115.835310355892
4.50	90	-115.835312426904
4.50	95	-115.835315157081
4.50	100	-115.835318679964
4.50	105	-115.835323196593
4.50	110	-115.835329023953
4.50	115	-115.835336662141
4.50	120	-115.835346866943
4.50	125	-115.835360698629
4.50	130	-115.835379498095
4.50	135	-115.83540473832
4.50	140	-115.835437723064
4.50	145	-115.835479150519
4.50	150	-115.835528628484
4.50	155	-115.835584249903
4.50	160	-115.835642363577
4.50	165	-115.83569768179
4.50	170	-115.835743873062
4.50	175	-115.835774711056
4.50	180	-115.83578556431
4.60	0	-115.835310001357
4.60	5	-115.835309897619
4.60	10	-115.835309594488
4.60	15	-115.835309109423
4.60	20	-115.835308470715
4.60	25	-115.835307714577
4.60	30	-115.835306882501
4.60	35	-115.835306018728
4.60	40	-115.835305168207
4.60	45	-115.835304375221
4.60	50	-115.83530368275
4.60	55	-115.835303132408
4.60	60	-115.835302765078
4.60	65	-115.835302621666
4.60	70	-115.835302744337
4.60	75	-115.835303177857
4.60	80	-115.835303971137
4.60	85	-115.835305179177
4.60	90	-115.835306866366
4.60	95	-115.835309112895
4.60	100	-115.835312027811
4.60	105	-115.835315773416
4.60	110	-115.835320606272
4.60	115	-115.835326936135
4.60	120	-115.835335394489
4.60	125	-115.835346887446
4.60	130	-115.835362589757
4.60	135	-115.835383828277
4.60	140	-115.835411817504
4.60	145	-115.835447257279
4.60	150	-115.83548986784
4.60	155	-115.835537987257
4.60	160	-115.835588375459
4.60	165	-115.835636353976
