R,a1,a2,a3,E
4.2,30,60,60,-76.97786321
3.7,60,60,90,-76.97786307
4.4,30,30,60,-76.97786276
3.4,30,90,30,-76.97786259
3.4,30,90,150,-76.97786259
3.7,60,60,150,-76.97786233
4.3,30,0,60,-76.97786214
4.3,60,0,60,-76.97786214
4.3,90,0,60,-76.97786195
4.3,0,0,60,-76.97786195
4.4,60,60,30,-76.97786193
4.3,60,0,120,-76.97786091
4.3,30,0,120,-76.97786091
4.3,0,0,120,-76.97786072
4.3,90,0,120,-76.97786072
4.3,90,30,90,-76.97786035
3.9,90,90,60,-76.97785995
4.4,90,90,30,-76.97785961
4.4,90,90,150,-76.97785961
3.5,90,60,30,-76.97785942
3.5,90,60,150,-76.97785942
3.4,60,60,60,-76.97785921
3.9,90,90,120,-76.97785868
3.6,90,90,60,-76.97785864
4.4,90,60,180,-76.97785826
4.4,0,60,180,-76.97785826
4.4,60,60,180,-76.97785826
4.4,30,60,180,-76.97785826
4.4,30,60,0,-76.97785826
4.4,60,60,0,-76.97785826
4.4,90,60,0,-76.97785826
4.4,0,60,0,-76.97785826
4.5,0,60,30,-76.97785813
3.6,60,60,90,-76.97785809999999
4.3,60,30,90,-76.97785807
3.8,60,60,90,-76.97785795
4.1,60,60,150,-76.97785745
3.6,90,90,120,-76.97785738
3.9,90,60,90,-76.97785721
4.4,60,90,30,-76.97785703
4.4,60,90,150,-76.97785703
4.3,30,30,30,-76.97785634
3.5,90,60,90,-76.9778562
4.3,90,60,30,-76.97785575
4.3,90,60,150,-76.97785575
3.8,60,90,60,-76.97785522
3.7,60,90,60,-76.97785398
3.8,60,90,120,-76.97785396
4.5,30,60,30,-76.97785371
4.2,60,60,60,-76.97785359
3.7,60,90,120,-76.97785272
4.2,60,30,30,-76.97785267
4.6,0,90,0,-76.97785202
4.6,60,90,180,-76.97785202
4.6,0,90,180,-76.97785202
4.6,90,90,0,-76.97785202
4.6,60,90,0,-76.97785202
4.6,30,90,0,-76.97785202
4.6,90,90,180,-76.97785202
4.6,30,90,180,-76.97785202
4.3,30,30,90,-76.97785172
3.5,90,60,60,-76.9778514
4.4,30,90,150,-76.97785065
4.4,30,90,30,-76.97785065
4.3,0,30,90,-76.97785048
3.5,90,60,120,-76.97785018
4.1,60,30,120,-76.97784971
3.4,0,90,150,-76.97784916
3.4,0,90,30,-76.97784916
4.1,90,60,60,-76.97784772
4.4,0,90,150,-76.97784766
4.4,0,90,30,-76.97784766
4.4,60,30,60,-76.97784748
3.9,60,90,60,-76.97784726
4.1,90,60,120,-76.97784647
3.9,60,90,120,-76.97784599
4.0,90,90,60,-76.97784567
3.9,60,60,90,-76.97784558
4.3,90,30,60,-76.97784465
4.5,0,0,90,-76.97784463
4.5,90,0,90,-76.97784463
4.5,60,0,90,-76.97784449999999
4.0,90,90,120,-76.9778444
4.5,0,30,60,-76.97784343
4.3,90,30,120,-76.97784341
4.5,30,0,90,-76.97784326
4.3,0,60,60,-76.97784251
3.4,90,30,60,-76.97784177
4.4,0,30,30,-76.97784112
4.3,30,60,60,-76.97784109
4.0,90,60,90,-76.97784086
3.4,90,30,120,-76.97784062
3.8,30,30,120,-76.97784006
3.6,60,90,60,-76.97783934
4.2,60,60,150,-76.97783927
4.5,30,30,60,-76.97783902
4.5,60,60,30,-76.97783869999999
4.4,30,0,60,-76.97783848
4.4,60,0,60,-76.97783848
4.4,90,0,60,-76.97783836
4.4,0,0,60,-76.97783836
3.9,30,30,120,-76.97783823
3.6,60,90,120,-76.97783809
4.4,60,0,120,-76.97783726
4.4,30,0,120,-76.97783726
4.4,0,0,120,-76.97783714
4.4,90,0,120,-76.97783714
3.5,60,60,90,-76.97783703
4.4,90,30,90,-76.97783639
4.5,90,90,150,-76.97783626
4.5,90,90,30,-76.97783626
3.3,0,60,30,-76.97783614
4.6,0,60,30,-76.97783482
4.0,90,30,30,-76.97783471
4.0,90,30,150,-76.97783471
4.0,60,90,60,-76.97783453
3.9,90,30,30,-76.97783448
3.9,90,30,150,-76.97783448
4.5,0,60,180,-76.97783425
4.5,90,60,0,-76.97783425
4.5,0,60,0,-76.97783425
4.5,60,60,180,-76.97783425
4.5,30,60,0,-76.97783425
4.5,60,60,0,-76.97783425
4.5,90,60,180,-76.97783425
4.5,30,60,180,-76.97783425
4.4,30,30,30,-76.9778341
4.5,60,90,150,-76.97783406
4.5,60,90,30,-76.97783406
4.4,90,60,150,-76.97783395
4.4,90,60,30,-76.97783395
4.4,60,30,90,-76.97783382
4.0,60,90,120,-76.97783326
4.3,60,30,30,-76.97783279
4.3,60,60,60,-76.97783248
3.7,30,60,90,-76.97783224
4.6,30,60,30,-76.9778309
4.2,60,30,120,-76.97783068
3.8,30,60,90,-76.97783054
4.0,60,60,90,-76.97783031
3.9,30,60,150,-76.97782999
3.7,30,30,120,-76.9778298
4.0,30,30,120,-76.97782959
4.7,30,90,0,-76.97782955
4.7,0,90,0,-76.97782955
