E (cm-1),0->2	,E (cm-1),0->4	,E (cm-1),2->4	,E (cm-1),4->6	
38.1,3.53445,,,,,,
38.2,3.55839,,,,,,
38.3,3.57617,,,,,,
38.4,3.59028,,,,,,
38.5,3.60221,,,,,,
38.6,3.61277,,,,,,
38.7,3.62246,,,,,,
38.8,3.63153,,,,,,
38.9,3.64016,,,,,,
39.0,3.64837,,,,,,
39.1,3.65608,,,,,,
39.2,3.66301,,,,,,
39.3,3.66858,,,,,,
39.4,3.67181,,,,,,
39.5,3.67153,,,,,,
39.6,3.66742,,,,,,
39.7,3.6611,,,,,,
39.8,3.65529,,,,,,
39.9,3.65152,,,,,,
40.0,3.65011,,,,,,
40.1,3.65095,,,,,,
40.2,3.65382,,,,,,
40.3,3.65844,,,,,,
40.4,3.66447,,,,,,
40.5,3.67148,,,,,,
40.6,3.67906,,,,,,
40.7,3.68687,,,,,,
40.8,3.69471,,,,,,
40.9,3.70246,,,,,,
41.0,3.71004,,,,,,
41.1,3.71743,,,,,,
41.2,3.72461,,,,,,
41.3,3.73158,,,,,,
41.4,3.7383,,,,,,
41.5,3.74479,,,,,,
41.6,3.75097,,,,,,
41.7,3.75684,,,,,,
41.8,3.76233,,,,,,
41.9,3.76743,,,,,,
42.0,3.77208,,,,,,
42.1,3.7763,,,,,,
42.2,3.7801,,,,,,
42.3,3.78355,,,,,,
42.4,3.78676,,,,,,
42.5,3.78983,,,,,,
42.6,3.79292,,,,,,
42.7,3.79613,,,,,,
42.8,3.79954,,,,,,
42.9,3.80322,,,,,,
43.0,3.80718,,,,,,
43.1,3.81144,,,,,,
43.2,3.81597,,,,,,
43.3,3.82076,,,,,,
43.4,3.82577,,,,,,
43.5,3.83097,,,,,,
43.6,3.83633,,,,,,
43.7,3.84182,,,,,,
43.8,3.84741,,,,,,
43.9,3.85307,,,,,,
44.0,3.85878,,,,,,
44.1,3.86452,,,,,,
44.2,3.87027,,,,,,
44.3,3.87602,,,,,,
44.4,3.88175,,,,,,
44.5,3.88745,,,,,,
44.6,3.89311,,,,,,
44.7,3.89872,,,,,,
44.8,3.90428,,,,,,
44.9,3.90977,,,,,,
45.0,3.9152,,,,,,
45.1,3.92056,,,,,,
45.2,3.92585,,,,,,
45.3,3.93107,,,,,,
45.4,3.93622,,,,,,
45.5,3.94132,,,,,,
45.6,3.94638,,,,,,
45.7,3.95139,,,,,,
45.8,3.95638,,,,,,
45.9,3.96136,,,,,,
46.0,3.96634,,,,,,
46.1,3.97133,,,,,,
46.2,3.97635,,,,,,
46.3,3.98139,,,,,,
46.4,3.98648,,,,,,
46.5,3.99161,,,,,,
46.6,3.99679,,,,,,
46.7,4.00202,,,,,,
46.8,4.00731,,,,,,
46.9,4.01265,,,,,,
47.0,4.01804,,,,,,
47.1,4.02347,,,,,,
47.2,4.02898,,,,,,
47.3,4.03451,,,,,,
47.4,4.04007,,,,,,
47.5,4.04566,,,,,,
47.6,4.05129,,,,,,
47.7,4.05694,,,,,,
47.8,4.06261,,,,,,
47.9,4.0683,,,,,,
48.0,4.07401,,,,,,
48.1,4.07972,,,,,,
48.2,4.08544,,,,,,
48.3,4.09117,,,,,,
48.4,4.09689,,,,,,
48.5,4.10262,,,,,,
48.6,4.10834,,,,,,
48.7,4.11405,,,,,,
48.8,4.11976,,,,,,
48.9,4.12546,,,,,,
49.0,4.13116,,,,,,
49.1,4.13684,,,,,,
49.2,4.14251,,,,,,
49.3,4.14818,,,,,,
49.4,4.15383,,,,,,
49.5,4.15948,,,,,,
49.6,4.16512,,,,,,
49.7,4.17076,,,,,,
49.8,4.17639,,,,,,
49.9,4.18203,,,,,,
50.0,4.18766,,,,,,
50.1,4.19329,,,,,,
51.0,4.24423,,,,,,
52.0,4.3019,,,,,,
53.0,4.36064,,,,,,
54.0,4.42002,,,,,,
55.0,4.4797,,,,,,
56.0,4.53969,,,,,,
57.0,4.60009,,,,,,
58.0,4.6609,,,,,,
59.0,4.72206,,,,,,
60.0,4.78348,,,,,,
61.0,4.84515,,,,,,
62.0,4.90693,,,,,,
63.0,4.96884,,,,,,
64.0,5.03088,,,,,,
65.0,5.09302,,,,,,
66.0,5.1552,,,,,,
67.0,5.21736,,,,,,
68.0,5.27951,,,,,,
69.0,5.34142,,,,,,
70.0,5.40304,,,,,,
71.0,5.46409,,,,,,
72.0,5.52356,,,,,,
73.0,5.58417,,,,,,
74.0,5.64808,,,,,,
75.0,5.72139,,,,,,
76.0,5.77611,,,,,,
77.0,5.8402,,,,,,
78.0,5.91227,,,,,,
79.0,5.96607,,,,,,
80.0,6.02723,,,,,,
81.0,6.09166,,,,,,
82.0,6.15099,,,,,,
83.0,6.21289,,,,,,
84.0,6.27505,,,,,,
85.0,6.33567,,,,,,
86.0,6.39633,,,,,,
87.0,6.4573,,,,,,
88.0,6.51793,,,,,,
89.0,6.57813,,,,,,
90.0,6.63816,,,,,,
91.0,6.69807,,,,,,
92.0,6.75777,,,,,,
93.0,6.81735,,,,,,
94.0,6.87653,,,,,,
95.0,6.93548,,,,,,
96.0,6.99421,,,,,,
97.0,7.0527,,,,,,
98.0,7.11093,,,,,,
99.0,7.1689,,,,,,
100.0,7.2266,,,,,,
