   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
   12.80000000          0      1     13      1    1          259.312      
   12.80000000          0      1     13      2    1         0.648662      
   12.80000000          0      1     13      1    2         0.883567      
   12.80000000          0      1     13      2    2          305.311      
   12.85000000          0      1     13      1    1          258.952      
   12.85000000          0      1     13      2    1         0.621335      
   12.85000000          0      1     13      1    2         0.827631      
   12.85000000          0      1     13      2    2          299.870      
   12.90000000          0      1     13      1    1          258.599      
   12.90000000          0      1     13      2    1         0.602419      
   12.90000000          0      1     13      1    2         0.785208      
   12.90000000          0      1     13      2    2          295.666      
   12.95000000          0      1     13      1    1          258.254      
   12.95000000          0      1     13      2    1         0.590200      
   12.95000000          0      1     13      1    2         0.753237      
   12.95000000          0      1     13      2    2          292.334      
   13.00000000          0      1     13      1    1          257.918      
   13.00000000          0      1     13      2    1         0.583588      
   13.00000000          0      1     13      1    2         0.729696      
   13.00000000          0      1     13      2    2          289.618      
   13.05000000          0      1     13      1    1          257.589      
   13.05000000          0      1     13      2    1         0.581898      
   13.05000000          0      1     13      1    2         0.713231      
   13.05000000          0      1     13      2    2          287.356      
   13.10000000          0      1     13      1    1          257.269      
   13.10000000          0      1     13      2    1         0.584738      
   13.10000000          0      1     13      1    2         0.702952      
   13.10000000          0      1     13      2    2          285.438      
   13.15000000          0      1     13      1    1          256.955      
   13.15000000          0      1     13      2    1         0.591930      
   13.15000000          0      1     13      1    2         0.698294      
   13.15000000          0      1     13      2    2          283.787      
   13.20000000          0      1     13      1    1          256.647      
   13.20000000          0      1     13      2    1         0.603476      
   13.20000000          0      1     13      1    2         0.698945      
   13.20000000          0      1     13      2    2          282.353      
   13.25000000          0      1     13      1    1          256.342      
   13.25000000          0      1     13      2    1         0.619531      
   13.25000000          0      1     13      1    2         0.704798      
   13.25000000          0      1     13      2    2          281.099      
   13.30000000          0      1     13      1    1          256.040      
   13.30000000          0      1     13      2    1         0.640394      
   13.30000000          0      1     13      1    2         0.715915      
   13.30000000          0      1     13      2    2          280.001      
   13.35000000          0      1     13      1    1          255.737      
   13.35000000          0      1     13      2    1         0.666520      
   13.35000000          0      1     13      1    2         0.732529      
   13.35000000          0      1     13      2    2          279.045      
   13.40000000          0      1     13      1    1          255.433      
   13.40000000          0      1     13      2    1         0.698514      
   13.40000000          0      1     13      1    2         0.755028      
   13.40000000          0      1     13      2    2          278.235      
   13.45000000          0      1     13      1    1          255.124      
   13.45000000          0      1     13      2    1         0.737162      
   13.45000000          0      1     13      1    2         0.783967      
   13.45000000          0      1     13      2    2          277.568      
   13.50000000          0      1     13      1    1          254.808      
   13.50000000          0      1     13      2    1         0.783459      
   13.50000000          0      1     13      1    2         0.820089      
   13.50000000          0      1     13      2    2          277.054      
   13.55000000          0      1     13      1    1          254.481      
   13.55000000          0      1     13      2    1         0.838631      
   13.55000000          0      1     13      1    2         0.864338      
   13.55000000          0      1     13      2    2          276.716      
   13.60000000          0      1     13      1    1          254.140      
   13.60000000          0      1     13      2    1         0.904187      
   13.60000000          0      1     13      1    2         0.917887      
   13.60000000          0      1     13      2    2          276.582      
   13.65000000          0      1     13      1    1          253.781      
   13.65000000          0      1     13      2    1         0.981971      
   13.65000000          0      1     13      1    2         0.982187      
   13.65000000          0      1     13      2    2          276.692      
   13.70000000          0      1     13      1    1          253.399      
   13.70000000          0      1     13      2    1          1.07420      
   13.70000000          0      1     13      1    2          1.05897      
   13.70000000          0      1     13      2    2          277.095      
   13.75000000          0      1     13      1    1          252.989      
   13.75000000          0      1     13      2    1          1.18351      
   13.75000000          0      1     13      1    2          1.15030      
   13.75000000          0      1     13      2    2          277.862      
   13.80000000          0      1     13      1    1          252.546      
   13.80000000          0      1     13      2    1          1.31301      
   13.80000000          0      1     13      1    2          1.25856      
   13.80000000          0      1     13      2    2          279.074      
   13.85000000          0      1     13      1    1          252.065      
   13.85000000          0      1     13      2    1          1.46621      
   13.85000000          0      1     13      1    2          1.38643      
   13.85000000          0      1     13      2    2          280.836      
   13.90000000          0      1     13      1    1          251.539      
   13.90000000          0      1     13      2    1          1.64693      
   13.90000000          0      1     13      1    2          1.53671      
   13.90000000          0      1     13      2    2          283.273      
   13.95000000          0      1     13      1    1          250.964      
   13.95000000          0      1     13      2    1          1.85897      
   13.95000000          0      1     13      1    2          1.71207      
   13.95000000          0      1     13      2    2          286.529      
   14.00000000          0      1     14      1    1          250.336      
   14.00000000          0      1     14      2    1          2.10549      
   14.00000000          0      1     14      1    2          1.91445      
   14.00000000          0      1     14      2    2          290.761      
   14.05000000          0      1     14      1    1          249.656      
   14.05000000          0      1     14      2    1          2.38793      
   14.05000000          0      1     14      1    2          2.14420      
   14.05000000          0      1     14      2    2          296.119      
   14.10000000          0      1     14      1    1          248.927      
